/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,10.15,15.15
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,15.15,20.15
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,20.15,22.64
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,32.8,34.4
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,34.45,37.5
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,37.5,39.3
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,39.3,43.9
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,43.9,45.8
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,45.8,50.3
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,50.3,55.3
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,55.4,60.4
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,60.4,65.4
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,65.4,70.05
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,70.05,75.05
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,75.05,77.15
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,77.3,79.65
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,79.65,84.65
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,84.65,87.4
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,87.4,90.45
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,90.45,93.15
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,93.15,96.95
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,97.9,100.7
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,100.7,105.7
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,105.7,110.7
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,110.95,113.7
/project/Corpora/speech/6000_ASR/QUYNHON_THUANHAI/FIm23-p1t0A.wav,113.7,115.15
